광역,기초,에너지원,생산량(toe),발전량(MWh),보급용량_발전_누적(kW),보급용량_발전_신규(kW)
서울,강남구,재생에너지,38402.00889,42841,0,0
서울,송파구,재생에너지,13793.13808,19418,0,0
서울,강동구,재생에너지,8752.568809,21388,0,0
서울,기타,재생에너지,2355.34211,6885,0,0
부산,부산,재생에너지,201651.7829,421541,0,0
부산,중구,재생에너지,867.2319084,1636,0,0
부산,서구,재생에너지,2476.819388,4132,0,0
부산,동구,재생에너지,2227.290988,4782,0,0
부산,영도구,재생에너지,3294.485882,7176,0,0
부산,부산진구,재생에너지,5640.652295,6374,0,0
부산,동래구,재생에너지,6798.714316,7604,0,0
부산,남구,재생에너지,19316.90063,15495,0,0
부산,북구,재생에너지,5119.029364,8166,0,0
부산,해운대구,재생에너지,12728.75216,13491,0,0
부산,사하구,재생에너지,16277.42991,24060,0,0
부산,금정구,재생에너지,7005.90403,19235,0,0
부산,강서구,재생에너지,92386.65259,233077,0,0
부산,연제구,재생에너지,3632.291161,4910,0,0
부산,수영구,재생에너지,2982.223345,4179,0,0
부산,사상구,재생에너지,4873.008273,9959,0,0
부산,기장군,재생에너지,15623.42039,56401,0,0
부산,기타,재생에너지,400.9763215,865,0,0
대구,대구,재생에너지,240808.4798,544440,0,0
대구,중구,재생에너지,1751.820969,1958,0,0
대구,동구,재생에너지,15039.05312,33580,0,0
대구,서구,재생에너지,5453.868489,11032,0,0
대구,남구,재생에너지,3466.690044,6724,0,0
대구,북구,재생에너지,18136.90432,37314,0,0
대구,수성구,재생에너지,9402.990897,13809,0,0
대구,달서구,재생에너지,67233.93849,82803,0,0
대구,달성군,재생에너지,71205.71418,138733,0,0
대구,군위군,재생에너지,48441.21688,216715,0,0
대구,기타,재생에너지,676.2823681,1771,0,0
인천,인천,재생에너지,319005.0005,574288,0,0
인천,중구,재생에너지,47518.52615,67990,0,0
인천,동구,재생에너지,1280.547705,1959,0,0
인천,미추홀구,재생에너지,61500.92204,28460,0,0
인천,연수구,재생에너지,29823.7811,22956,0,0
인천,남동구,재생에너지,22397.64452,33055,0,0
인천,부평구,재생에너지,9706.666721,9420,0,0
인천,계양구,재생에너지,6119.494764,8908,0,0
인천,서구,재생에너지,110499.5595,286982,0,0
인천,강화군,재생에너지,15331.65651,55157,0,0
인천,옹진군,재생에너지,13845.81967,58025,0,0
인천,기타,재생에너지,980.3817718,1375,0,0
광주,광주,재생에너지,118380.0159,418128,0,0
광주,동구,재생에너지,5236.056107,15524,0,0
광주,서구,재생에너지,13789.74549,40707,0,0
광주,남구,재생에너지,10605.02494,29984,0,0
광주,북구,재생에너지,23918.26574,72657,0,0
광주,광산구,재생에너지,63857.21596,256199,0,0
광주,기타,재생에너지,973.7076587,3057,0,0
대전,대전,재생에너지,92983.84934,142121,0,0
대전,동구,재생에너지,7087.932818,15950,0,0
대전,중구,재생에너지,5753.210001,11447,0,0
대전,서구,재생에너지,11558.8194,21468,0,0
대전,유성구,재생에너지,31048.63004,51009,0,0
대전,대덕구,재생에너지,36928.79142,40484,0,0
대전,기타,재생에너지,606.4656555,1762,0,0
울산,울산,재생에너지,412802.9034,419542,0,0
울산,중구,재생에너지,6155.845941,6015,0,0
울산,남구,재생에너지,134259.6882,38765,0,0
울산,동구,재생에너지,6012.905131,6855,0,0
울산,북구,재생에너지,9828.626934,28352,0,0
울산,울주군,재생에너지,256187.9849,338829,0,0
울산,기타,재생에너지,357.852318,728,0,0
세종,세종,재생에너지,99233.10359,133029,0,0
경기,경기,재생에너지,1522935.249,4046029,0,0
경기,수원시,재생에너지,41707.75607,50538,0,0
경기,성남시,재생에너지,64239.27038,28518,0,0
경기,의정부시,재생에너지,19331.882,20236,0,0
경기,안양시,재생에너지,18889.10207,15927,0,0
경기,부천시,재생에너지,22733.45522,21632,0,0
경기,광명시,재생에너지,12184.4254,11250,0,0
경기,평택시,재생에너지,110204.754,375041,0,0
경기,동두천시,재생에너지,36203.86887,18385,0,0
경기,안산시,재생에너지,180464.6041,511765,0,0
경기,고양시,재생에너지,44640.53115,69267,0,0
경기,과천시,재생에너지,3702.775888,2671,0,0
경기,구리시,재생에너지,8847.292486,8128,0,0
경기,남양주시,재생에너지,107425.5152,429857,0,0
경기,오산시,재생에너지,19762.14276,18599,0,0
경기,시흥시,재생에너지,50668.67475,57826,0,0
경기,군포시,재생에너지,9478.776302,7190,0,0
경기,의왕시,재생에너지,4447.637858,8321,0,0
경기,하남시,재생에너지,10017.15664,15520,0,0
경기,용인시,재생에너지,71391.83986,92426,0,0
경기,파주시,재생에너지,49146.4963,125257,0,0
경기,이천시,재생에너지,56550.27595,202024,0,0
경기,안성시,재생에너지,48179.03864,193695,0,0
경기,김포시,재생에너지,30214.29297,94654,0,0
경기,화성시,재생에너지,98332.477,315439,0,0
경기,광주시,재생에너지,23894.80375,63994,0,0
경기,양주시,재생에너지,35785.03157,60533,0,0
경기,포천시,재생에너지,117289.7098,322313,0,0
경기,여주시,재생에너지,63793.78805,278294,0,0
경기,연천군,재생에너지,54527.87975,209938,0,0
경기,가평군,재생에너지,80021.36157,344564,0,0
경기,양평군,재생에너지,22915.46229,65628,0,0
경기,기타,재생에너지,5943.170235,6603,0,0
강원,강원,재생에너지,1673175.15,6059528,0,0
강원,춘천시,재생에너지,183546.8862,800598,0,0
강원,원주시,재생에너지,65170.75808,218515,0,0
강원,강릉시,재생에너지,416448.7104,1730123,0,0
강원,동해시,재생에너지,167433.6467,259456,0,0
강원,태백시,재생에너지,98591.89127,449872,0,0
강원,속초시,재생에너지,8502.741549,20489,0,0
강원,삼척시,재생에너지,145705.223,338678,0,0
강원,홍천군,재생에너지,49876.48578,194100,0,0
강원,횡성군,재생에너지,41495.99118,172277,0,0
강원,영월군,재생에너지,90851.95744,187423,0,0
강원,평창군,재생에너지,118520.7831,506113,0,0
강원,정선군,재생에너지,40634.42014,169364,0,0
강원,철원군,재생에너지,52888.06627,223983,0,0
강원,화천군,재생에너지,70701.10328,313930,0,0
강원,양구군,재생에너지,28632.58199,117122,0,0
강원,인제군,재생에너지,40514.95878,148878,0,0
강원,고성군,재생에너지,38561.12756,166429,0,0
강원,양양군,재생에너지,11345.38634,37954,0,0
강원,기타,재생에너지,3752.430929,4224,0,0
충북,충북,재생에너지,941518.299,2921617,0,0
충북,충주시,재생에너지,224095.1424,989246,0,0
충북,제천시,재생에너지,75538.88095,143317,0,0
충북,청주시,재생에너지,221755.7762,589121,0,0
충북,보은군,재생에너지,44298.87842,185122,0,0
충북,옥천군,재생에너지,44222.21869,183946,0,0
충북,영동군,재생에너지,34465.84428,128191,0,0
충북,진천군,재생에너지,46784.93763,163535,0,0
충북,괴산군,재생에너지,43242.9574,164729,0,0
충북,음성군,재생에너지,54773.3052,214405,0,0
충북,단양군,재생에너지,139970.8074,113783,0,0
충북,증평군,재생에너지,10588.56389,42955,0,0
충북,기타,재생에너지,1780.986557,3265,0,0
충남,충남,재생에너지,1868009.982,7082180,0,0
충남,천안시,재생에너지,90435.62464,225643,0,0
충남,공주시,재생에너지,64751.02565,248001,0,0
충남,보령시,재생에너지,82340.03733,349826,0,0
충남,아산시,재생에너지,116730.0365,266692,0,0
충남,서산시,재생에너지,428843.6063,1424764,0,0
충남,논산시,재생에너지,100887.1279,431987,0,0
충남,계룡시,재생에너지,2374.249776,4626,0,0
충남,당진시,재생에너지,536977.9142,2265436,0,0
충남,금산군,재생에너지,60247.94267,257701,0,0
충남,부여군,재생에너지,75880.36213,313042,0,0
충남,서천군,재생에너지,57556.17643,248946,0,0
충남,청양군,재생에너지,24019.87205,90375,0,0
충남,홍성군,재생에너지,55186.42215,228207,0,0
충남,예산군,재생에너지,49102.2217,188790,0,0
충남,태안군,재생에너지,119385.778,535150,0,0
충남,기타,재생에너지,3291.584339,2994,0,0
전북,전북,재생에너지,2953269.786,10070791,0,0
전북,전주시,재생에너지,138433.9897,451918,0,0
전북,군산시,재생에너지,1500271.92,4391009,0,0
전북,익산시,재생에너지,282702.6984,883179,0,0
전북,정읍시,재생에너지,167289.4348,731504,0,0
전북,남원시,재생에너지,144405.7041,632253,0,0
전북,김제시,재생에너지,162925.3724,712102,0,0
전북,완주군,재생에너지,111402.7477,350615,0,0
전북,진안군,재생에너지,77777.59099,340529,0,0
전북,무주군,재생에너지,21081.12498,76725,0,0
전북,장수군,재생에너지,65656.67452,281719,0,0
전북,임실군,재생에너지,64795.16017,282934,0,0
전북,순창군,재생에너지,27987.66675,108711,0,0
전북,고창군,재생에너지,111093.614,502220,0,0
전북,부안군,재생에너지,72824.61085,321391,0,0
전북,기타,재생에너지,4621.476503,3982,0,0
전남,전남,재생에너지,1852307.535,7921805,0,0
전남,목포시,재생에너지,26934.45293,97674,0,0
전남,여수시,재생에너지,87531.74222,248553,0,0
전남,순천시,재생에너지,100669.7503,420505,0,0
전남,나주시,재생에너지,126023.0582,534886,0,0
전남,광양시,재생에너지,52716.14324,218540,0,0
전남,담양군,재생에너지,24366.40309,75557,0,0
전남,곡성군,재생에너지,23166.11691,97438,0,0
전남,구례군,재생에너지,7861.865279,25489,0,0
전남,고흥군,재생에너지,143813.2947,637149,0,0
전남,보성군,재생에너지,55070.53205,239397,0,0
전남,화순군,재생에너지,80980.66381,340153,0,0
전남,장흥군,재생에너지,45459.52829,194465,0,0
전남,강진군,재생에너지,68965.40249,284515,0,0
전남,해남군,재생에너지,183111.3419,830144,0,0
전남,영암군,재생에너지,148708.5278,683193,0,0
전남,무안군,재생에너지,105734.5593,455856,0,0
전남,함평군,재생에너지,30583.36699,130981,0,0
전남,영광군,재생에너지,176871.0373,806967,0,0
전남,장성군,재생에너지,40937.02652,172145,0,0
전남,완도군,재생에너지,43717.09636,154210,0,0
전남,진도군,재생에너지,35325.9939,151913,0,0
전남,신안군,재생에너지,241660.9616,1117637,0,0
전남,기타,재생에너지,2098.669768,4437,0,0
경북,경북,재생에너지,1379426.581,5682615,0,0
경북,포항시,재생에너지,70531.34891,210988,0,0
경북,경주시,재생에너지,90556.43598,356120,0,0
경북,김천시,재생에너지,90747.74438,359914,0,0
경북,안동시,재생에너지,119908.2097,515099,0,0
경북,구미시,재생에너지,85393.54622,299261,0,0
경북,영주시,재생에너지,63832.8443,278055,0,0
경북,영천시,재생에너지,58582.59889,245704,0,0
경북,상주시,재생에너지,128234.9923,566321,0,0
경북,문경시,재생에너지,43654.74908,179370,0,0
경북,경산시,재생에너지,52246.99503,184599,0,0
경북,의성군,재생에너지,89827.79031,406046,0,0
경북,청송군,재생에너지,21984.46891,92711,0,0
경북,영양군,재생에너지,158840.6299,735059,0,0
경북,영덕군,재생에너지,58253.89464,262430,0,0
경북,청도군,재생에너지,14537.97153,52702,0,0
경북,고령군,재생에너지,16816.96993,66401,0,0
경북,성주군,재생에너지,27680.5706,114908,0,0
경북,칠곡군,재생에너지,43536.75263,166779,0,0
