지점,지점명,일시,평균운량(1/10)
271,봉화,2020-09-01,6.9
271,봉화,2020-10-01,4.9
271,봉화,2020-11-01,3.8
271,봉화,2020-12-01,3.2
159,부산,2020-01-01,5.1
159,부산,2020-02-01,3.9
159,부산,2020-03-01,4.0
159,부산,2020-04-01,3.7
159,부산,2020-05-01,5.8
159,부산,2020-06-01,5.7
159,부산,2020-07-01,8.4
159,부산,2020-08-01,5.9
159,부산,2020-09-01,6.0
159,부산,2020-10-01,4.2
159,부산,2020-11-01,3.6
159,부산,2020-12-01,2.7
243,부안,2020-01-01,6.8
243,부안,2020-02-01,5.4
243,부안,2020-03-01,4.9
243,부안,2020-04-01,4.1
243,부안,2020-05-01,6.1
243,부안,2020-06-01,6.2
243,부안,2020-07-01,7.8
243,부안,2020-08-01,6.4
243,부안,2020-09-01,5.6
243,부안,2020-10-01,5.4
243,부안,2020-11-01,6.2
243,부안,2020-12-01,6.5
236,부여,2020-01-01,6.0
236,부여,2020-02-01,4.5
236,부여,2020-03-01,3.9
236,부여,2020-04-01,3.2
236,부여,2020-05-01,6.2
236,부여,2020-06-01,5.9
236,부여,2020-07-01,7.8
236,부여,2020-08-01,6.7
236,부여,2020-09-01,5.8
236,부여,2020-10-01,4.6
236,부여,2020-11-01,4.7
236,부여,2020-12-01,4.2
104,북강릉,2020-01-01,4.9
104,북강릉,2020-02-01,4.1
104,북강릉,2020-03-01,3.6
104,북강릉,2020-04-01,4.0
104,북강릉,2020-05-01,5.8
104,북강릉,2020-06-01,5.6
104,북강릉,2020-07-01,7.4
104,북강릉,2020-08-01,7.6
104,북강릉,2020-09-01,6.6
104,북강릉,2020-10-01,4.1
104,북강릉,2020-11-01,3.4
104,북강릉,2020-12-01,2.4
255,북창원,2020-01-01,5.2
255,북창원,2020-02-01,3.7
255,북창원,2020-03-01,4.0
255,북창원,2020-04-01,3.4
255,북창원,2020-05-01,5.7
255,북창원,2020-06-01,5.8
255,북창원,2020-07-01,7.9
255,북창원,2020-08-01,6.1
255,북창원,2020-09-01,6.2
255,북창원,2020-10-01,4.5
255,북창원,2020-11-01,3.9
255,북창원,2020-12-01,3.2
93,북춘천,2020-01-01,4.7
93,북춘천,2020-02-01,4.5
93,북춘천,2020-03-01,3.9
93,북춘천,2020-04-01,3.6
93,북춘천,2020-05-01,6.2
93,북춘천,2020-06-01,5.7
93,북춘천,2020-07-01,7.6
93,북춘천,2020-08-01,8.3
93,북춘천,2020-09-01,6.5
93,북춘천,2020-10-01,4.3
93,북춘천,2020-11-01,3.9
93,북춘천,2020-12-01,3.5
289,산청,2020-01-01,5.6
289,산청,2020-02-01,4.3
289,산청,2020-03-01,4.1
289,산청,2020-04-01,3.4
289,산청,2020-05-01,6.0
289,산청,2020-06-01,5.8
289,산청,2020-07-01,7.9
289,산청,2020-08-01,6.4
289,산청,2020-09-01,6.4
289,산청,2020-10-01,4.9
289,산청,2020-11-01,4.1
289,산청,2020-12-01,4.0
137,상주,2020-01-01,5.8
137,상주,2020-02-01,4.2
137,상주,2020-03-01,3.4
137,상주,2020-04-01,3.3
137,상주,2020-05-01,5.8
137,상주,2020-06-01,5.7
137,상주,2020-07-01,7.5
137,상주,2020-08-01,6.9
137,상주,2020-09-01,6.1
137,상주,2020-10-01,4.6
137,상주,2020-11-01,3.9
137,상주,2020-12-01,3.3
189,서귀포,2020-01-01,6.7
189,서귀포,2020-02-01,5.4
189,서귀포,2020-03-01,5.4
189,서귀포,2020-04-01,4.2
189,서귀포,2020-05-01,6.1
189,서귀포,2020-06-01,7.2
189,서귀포,2020-07-01,8.1
189,서귀포,2020-08-01,6.5
189,서귀포,2020-09-01,6.7
189,서귀포,2020-10-01,4.8
189,서귀포,2020-11-01,5.0
189,서귀포,2020-12-01,5.2
129,서산,2020-01-01,6.3
129,서산,2020-02-01,4.8
129,서산,2020-03-01,3.9
129,서산,2020-04-01,3.5
129,서산,2020-05-01,6.1
129,서산,2020-06-01,6.0
129,서산,2020-07-01,7.4
129,서산,2020-08-01,7.1
129,서산,2020-09-01,5.4
129,서산,2020-10-01,4.5
129,서산,2020-11-01,5.2
129,서산,2020-12-01,5.4
108,서울,2020-01-01,4.8
108,서울,2020-02-01,4.7
108,서울,2020-03-01,3.4
108,서울,2020-04-01,3.1
108,서울,2020-05-01,6.3
108,서울,2020-06-01,5.9
108,서울,2020-07-01,7.5
108,서울,2020-08-01,8.1
108,서울,2020-09-01,5.8
108,서울,2020-10-01,3.7
108,서울,2020-11-01,4.1
108,서울,2020-12-01,3.3
188,성산,2020-01-01,7.4
188,성산,2020-02-01,5.9
188,성산,2020-03-01,5.5
188,성산,2020-04-01,4.2
188,성산,2020-05-01,6.1
188,성산,2020-06-01,7.0
188,성산,2020-07-01,7.7
188,성산,2020-08-01,5.3
188,성산,2020-09-01,6.5
188,성산,2020-10-01,5.6
188,성산,2020-11-01,5.7
188,성산,2020-12-01,6.4
239,세종,2020-01-01,
239,세종,2020-02-01,
239,세종,2020-03-01,3.6
239,세종,2020-04-01,3.1
239,세종,2020-05-01,6.1
239,세종,2020-06-01,5.8
239,세종,2020-07-01,7.7
239,세종,2020-08-01,6.8
239,세종,2020-09-01,5.6
239,세종,2020-10-01,4.3
239,세종,2020-11-01,4.5
239,세종,2020-12-01,4.1
90,속초,2020-01-01,4.6
90,속초,2020-02-01,4.2
90,속초,2020-03-01,3.5
90,속초,2020-04-01,3.9
90,속초,2020-05-01,5.9
90,속초,2020-06-01,5.3
90,속초,2020-07-01,6.9
90,속초,2020-08-01,7.2
90,속초,2020-09-01,6.2
90,속초,2020-10-01,3.9
90,속초,2020-11-01,3.5
90,속초,2020-12-01,2.4
119,수원,2020-01-01,5.2
119,수원,2020-02-01,4.6
119,수원,2020-03-01,3.4
119,수원,2020-04-01,2.8
119,수원,2020-05-01,6.3
119,수원,2020-06-01,6.1
119,수원,2020-07-01,7.7
119,수원,2020-08-01,7.6
119,수원,2020-09-01,5.6
119,수원,2020-10-01,3.7
119,수원,2020-11-01,3.8
119,수원,2020-12-01,3.5
254,순창군,2020-01-01,6.1
254,순창군,2020-02-01,4.9
254,순창군,2020-03-01,4.4
254,순창군,2020-04-01,3.6
254,순창군,2020-05-01,6.3
254,순창군,2020-06-01,6.4
254,순창군,2020-07-01,8.1
254,순창군,2020-08-01,6.3
254,순창군,2020-09-01,6.4
254,순창군,2020-10-01,5.0
254,순창군,2020-11-01,4.8
254,순창군,2020-12-01,4.9
174,순천,2020-01-01,5.9
174,순천,2020-02-01,4.7
174,순천,2020-03-01,4.1
174,순천,2020-04-01,3.8
174,순천,2020-05-01,6.2
174,순천,2020-06-01,6.1
174,순천,2020-07-01,
174,순천,2020-08-01,
174,순천,2020-09-01,6.5
174,순천,2020-10-01,4.9
174,순천,2020-11-01,4.6
174,순천,2020-12-01,4.2
136,안동,2020-01-01,5.5
136,안동,2020-02-01,4.1
136,안동,2020-03-01,3.6
136,안동,2020-04-01,3.6
136,안동,2020-05-01,5.6
136,안동,2020-06-01,5.7
136,안동,2020-07-01,8.0
136,안동,2020-08-01,7.1
136,안동,2020-09-01,6.3
136,안동,2020-10-01,4.8
136,안동,2020-11-01,3.9
136,안동,2020-12-01,2.9
257,양산시,2020-01-01,5.4
257,양산시,2020-02-01,4.0
257,양산시,2020-03-01,4.0
257,양산시,2020-04-01,3.6
257,양산시,2020-05-01,6.1
257,양산시,2020-06-01,5.6
257,양산시,2020-07-01,7.8
257,양산시,2020-08-01,6.3
257,양산시,2020-09-01,6.3
257,양산시,2020-10-01,4.4
257,양산시,2020-11-01,4.0
257,양산시,2020-12-01,3.3
202,양평,2020-01-01,4.9
202,양평,2020-02-01,4.3
202,양평,2020-03-01,3.6
202,양평,2020-04-01,3.3
202,양평,2020-05-01,6.1
202,양평,2020-06-01,5.8
202,양평,2020-07-01,7.4
202,양평,2020-08-01,7.6
202,양평,2020-09-01,5.8
202,양평,2020-10-01,4.2
202,양평,2020-11-01,4.1
202,양평,2020-12-01,3.4
168,여수,2020-01-01,5.5
168,여수,2020-02-01,4.2
168,여수,2020-03-01,3.8
168,여수,2020-04-01,3.5
168,여수,2020-05-01,5.9
168,여수,2020-06-01,6.1
168,여수,2020-07-01,8.5
168,여수,2020-08-01,6.0
168,여수,2020-09-01,6.2
168,여수,2020-10-01,4.0
168,여수,2020-11-01,4.0
168,여수,2020-12-01,3.3
252,영광군,2020-01-01,7.4
252,영광군,2020-02-01,5.9
252,영광군,2020-03-01,4.7
252,영광군,2020-04-01,4.2
252,영광군,2020-05-01,6.3
252,영광군,2020-06-01,6.3
252,영광군,2020-07-01,8.0
252,영광군,2020-08-01,6.2
252,영광군,2020-09-01,6.0
252,영광군,2020-10-01,5.3
252,영광군,2020-11-01,6.0
252,영광군,2020-12-01,6.6
277,영덕,2020-01-01,5.2
277,영덕,2020-02-01,4.2
277,영덕,2020-03-01,4.0
277,영덕,2020-04-01,3.9
277,영덕,2020-05-01,5.7
277,영덕,2020-06-01,5.5
277,영덕,2020-07-01,7.5
277,영덕,2020-08-01,6.8
277,영덕,2020-09-01,5.8
277,영덕,2020-10-01,4.9
277,영덕,2020-11-01,4.0
277,영덕,2020-12-01,2.9
121,영월,2020-01-01,5.3
121,영월,2020-02-01,4.4
121,영월,2020-03-01,4.1
121,영월,2020-04-01,3.7
121,영월,2020-05-01,6.2
121,영월,2020-06-01,6.0
121,영월,2020-07-01,7.6
121,영월,2020-08-01,7.3
121,영월,2020-09-01,6.6
121,영월,2020-10-01,4.7
121,영월,2020-11-01,4.1
121,영월,2020-12-01,3.5
272,영주,2020-01-01,6.0
272,영주,2020-02-01,4.8
272,영주,2020-03-01,4.1
272,영주,2020-04-01,3.7
272,영주,2020-05-01,6.1
272,영주,2020-06-01,5.9
272,영주,2020-07-01,7.8
272,영주,2020-08-01,7.2
272,영주,2020-09-01,6.6
272,영주,2020-10-01,4.5
272,영주,2020-11-01,4.2
272,영주,2020-12-01,3.7
281,영천,2020-01-01,5.4
281,영천,2020-02-01,4.2
281,영천,2020-03-01,4.0
281,영천,2020-04-01,3.3
281,영천,2020-05-01,5.9
281,영천,2020-06-01,5.6
281,영천,2020-07-01,7.6
281,영천,2020-08-01,6.5
281,영천,2020-09-01,6.2
281,영천,2020-10-01,4.6
281,영천,2020-11-01,3.9
281,영천,2020-12-01,3.3
170,완도,2020-01-01,6.3
170,완도,2020-02-01,5.3
170,완도,2020-03-01,4.8
170,완도,2020-04-01,4.0
170,완도,2020-05-01,6.1
170,완도,2020-06-01,6.2
170,완도,2020-07-01,7.9
170,완도,2020-08-01,5.7
170,완도,2020-09-01,6.4
170,완도,2020-10-01,5.0
170,완도,2020-11-01,5.3
170,완도,2020-12-01,4.8
115,울릉도,2020-01-01,7.7
115,울릉도,2020-02-01,6.5
115,울릉도,2020-03-01,4.7
115,울릉도,2020-04-01,4.3
115,울릉도,2020-05-01,5.8
115,울릉도,2020-06-01,5.5
115,울릉도,2020-07-01,7.8
115,울릉도,2020-08-01,6.9
115,울릉도,2020-09-01,6.4
115,울릉도,2020-10-01,5.4
115,울릉도,2020-11-01,5.3
115,울릉도,2020-12-01,7.1
152,울산,2020-01-01,5.4
152,울산,2020-02-01,4.0
152,울산,2020-03-01,4.0
152,울산,2020-04-01,3.8
152,울산,2020-05-01,5.9
152,울산,2020-06-01,5.6
152,울산,2020-07-01,8.2
152,울산,2020-08-01,6.1
152,울산,2020-09-01,6.4
152,울산,2020-10-01,4.3
152,울산,2020-11-01,3.6
152,울산,2020-12-01,2.9
130,울진,2020-01-01,4.9
130,울진,2020-02-01,4.1
130,울진,2020-03-01,3.9
130,울진,2020-04-01,4.0
130,울진,2020-05-01,5.7
130,울진,2020-06-01,5.6
130,울진,2020-07-01,7.4
