지점,지점명,일시,평균지면온도(°C)
202,양평,2021-06-01,26.1
202,양평,2021-07-01,31.8
202,양평,2021-08-01,28.3
202,양평,2021-09-01,24.0
202,양평,2021-10-01,16.6
202,양평,2021-11-01,7.1
202,양평,2021-12-01,0.3
168,여수,2021-01-01,2.9
168,여수,2021-02-01,6.8
168,여수,2021-03-01,12.4
168,여수,2021-04-01,18.2
168,여수,2021-05-01,21.4
168,여수,2021-06-01,26.2
168,여수,2021-07-01,30.8
168,여수,2021-08-01,29.9
168,여수,2021-09-01,23.9
168,여수,2021-10-01,19.2
168,여수,2021-11-01,11.3
168,여수,2021-12-01,5.1
252,영광군,2021-01-01,2.7
252,영광군,2021-02-01,6.2
252,영광군,2021-03-01,13.3
252,영광군,2021-04-01,19.9
252,영광군,2021-05-01,23.5
252,영광군,2021-06-01,28.3
252,영광군,2021-07-01,32.3
252,영광군,2021-08-01,30.3
252,영광군,2021-09-01,25.8
252,영광군,2021-10-01,18.7
252,영광군,2021-11-01,10.4
252,영광군,2021-12-01,4.3
277,영덕,2021-01-01,0.8
277,영덕,2021-02-01,5.7
277,영덕,2021-03-01,10.5
277,영덕,2021-04-01,15.8
277,영덕,2021-05-01,19.4
277,영덕,2021-06-01,25.4
277,영덕,2021-07-01,30.8
277,영덕,2021-08-01,27.2
277,영덕,2021-09-01,23.2
277,영덕,2021-10-01,17.2
277,영덕,2021-11-01,9.4
277,영덕,2021-12-01,3.1
121,영월,2021-01-01,-2.2
121,영월,2021-02-01,1.8
121,영월,2021-03-01,8.4
121,영월,2021-04-01,14.4
121,영월,2021-05-01,17.5
121,영월,2021-06-01,24.7
121,영월,2021-07-01,31.1
121,영월,2021-08-01,27.8
121,영월,2021-09-01,22.8
121,영월,2021-10-01,15.6
121,영월,2021-11-01,6.7
121,영월,2021-12-01,-0.1
272,영주,2021-01-01,-1.8
272,영주,2021-02-01,3.1
272,영주,2021-03-01,10.4
272,영주,2021-04-01,17.0
272,영주,2021-05-01,19.8
272,영주,2021-06-01,26.9
272,영주,2021-07-01,32.6
272,영주,2021-08-01,28.2
272,영주,2021-09-01,23.6
272,영주,2021-10-01,16.9
272,영주,2021-11-01,8.0
272,영주,2021-12-01,1.2
281,영천,2021-01-01,0.3
281,영천,2021-02-01,4.0
281,영천,2021-03-01,10.2
281,영천,2021-04-01,15.9
281,영천,2021-05-01,19.8
281,영천,2021-06-01,25.5
281,영천,2021-07-01,30.5
281,영천,2021-08-01,27.1
281,영천,2021-09-01,22.8
281,영천,2021-10-01,16.8
281,영천,2021-11-01,8.3
281,영천,2021-12-01,1.9
170,완도,2021-01-01,2.6
170,완도,2021-02-01,5.6
170,완도,2021-03-01,10.9
170,완도,2021-04-01,16.0
